"ReachDir" "Bout" "EarlyLate" "Cycle" "Subj"
224 44.446 "A2" "Late" "8" "C4"
225 3.379 "A2" "Washout" "9" "C4"
226 2.815 "A2" "Washout" "10" "C4"
227 1.687 "A2" "Washout" "11" "C4"
228 3.667 "A2" "Washout" "12" "C4"
229 14.783 "A2" "Early" "1" "C5"
230 46.747 "A2" "Early" "2" "C5"
231 42.440 "A2" "Early" "3" "C5"
232 51.545 "A2" "Early" "4" "C5"
233 48.750 "A2" "Late" "5" "C5"
234 50.850 "A2" "Late" "6" "C5"
235 51.319 "A2" "Late" "7" "C5"
236 46.033 "A2" "Late" "8" "C5"
237 3.391 "A2" "Washout" "9" "C5"
238 3.853 "A2" "Washout" "10" "C5"
239 2.047 "A2" "Washout" "11" "C5"
240 4.739 "A2" "Washout" "12" "C5"
241 19.073 "A2" "Early" "1" "C6"
242 16.469 "A2" "Early" "2" "C6"
243 14.863 "A2" "Early" "3" "C6"
244 28.757 "A2" "Early" "4" "C6"
245 24.620 "A2" "Late" "5" "C6"
246 11.574 "A2" "Late" "6" "C6"
247 24.023 "A2" "Late" "7" "C6"
248 22.529 "A2" "Late" "8" "C6"
249 6.331 "A2" "Washout" "9" "C6"
250 6.222 "A2" "Washout" "10" "C6"
251 7.093 "A2" "Washout" "11" "C6"
252 6.190 "A2" "Washout" "12" "C6"
253 1.238 "A2" "Early" "1" "C7"
254 23.644 "A2" "Early" "2" "C7"
255 39.507 "A2" "Early" "3" "C7"
256 25.609 "A2" "Early" "4" "C7"
257 41.245 "A2" "Late" "5" "C7"
258 35.715 "A2" "Late" "6" "C7"
259 43.565 "A2" "Late" "7" "C7"
260 40.296 "A2" "Late" "8" "C7"
261 1.060 "A2" "Washout" "9" "C7"
262 2.886 "A2" "Washout" "10" "C7"
263 4.787 "A2" "Washout" "11" "C7"
264 0.320 "A2" "Washout" "12" "C7"
265 2.899 "A2" "Early" "1" "C8"
266 5.035 "A2" "Early" "2" "C8"
267 6.273 "A2" "Early" "3" "C8"
268 23.430 "A2" "Early" "4" "C8"
269 6.818 "A2" "Late" "5" "C8"
270 9.021 "A2" "Late" "6" "C8"
271 11.108 "A2" "Late" "7" "C8"
272 9.887 "A2" "Late" "8" "C8"
273 4.732 "A2" "Washout" "9" "C8"
274 4.259 "A2" "Washout" "10" "C8"
275 2.620 "A2" "Washout" "11" "C8"
276 3.755 "A2" "Washout" "12" "C8"
277 -0.353 "A2" "Early" "1" "C9"
278 3.452 "A2" "Early" "2" "C9"
279 NA "A2" "Early" "3" "C9"
280 50.977 "A2" "Early" "4" "C9"
281 47.806 "A2" "Late" "5" "C9"
282 49.973 "A2" "Late" "6" "C9"
283 47.590 "A2" "Late" "7" "C9"
284 52.673 "A2" "Late" "8" "C9"
285 -0.128 "A2" "Washout" "9" "C9"
286 0.612 "A2" "Washout" "10" "C9"
287 -1.875 "A2" "Washout" "11" "C9"
288 -0.026 "A2" "Washout" "12" "C9"
