"ReachDir" "Bout" "EarlyLate" "Cycle" "Subj"
195 6.880 "A2" "Early" "3" "C1"
196 12.395 "A2" "Early" "4" "C1"
197 33.261 "A2" "Late" "5" "C1"
198 45.796 "A2" "Late" "6" "C1"
199 46.342 "A2" "Late" "7" "C1"
200 44.326 "A2" "Late" "8" "C1"
201 1.475 "A2" "Washout" "9" "C1"
202 0.596 "A2" "Washout" "10" "C1"
203 1.043 "A2" "Washout" "11" "C1"
204 3.996 "A2" "Washout" "12" "C1"
205 3.841 "A2" "Early" "1" "C2"
206 15.876 "A2" "Early" "2" "C2"
207 12.476 "A2" "Early" "3" "C2"
208 22.601 "A2" "Early" "4" "C2"
209 26.251 "A2" "Late" "5" "C2"
210 27.150 "A2" "Late" "6" "C2"
211 20.000 "A2" "Late" "7" "C2"
212 36.748 "A2" "Late" "8" "C2"
213 6.275 "A2" "Washout" "9" "C2"
214 3.353 "A2" "Washout" "10" "C2"
215 2.461 "A2" "Washout" "11" "C2"
216 5.041 "A2" "Washout" "12" "C2"
217 36.007 "A2" "Early" "1" "C3"
218 30.292 "A2" "Early" "2" "C3"
219 24.908 "A2" "Early" "3" "C3"
220 16.154 "A2" "Early" "4" "C3"
221 21.033 "A2" "Late" "5" "C3"
222 39.827 "A2" "Late" "6" "C3"
223 62.772 "A2" "Late" "7" "C3"
224 12.472 "A2" "Late" "8" "C3"
225 10.025 "A2" "Washout" "9" "C3"
226 10.382 "A2" "Washout" "10" "C3"
227 8.638 "A2" "Washout" "11" "C3"
228 6.670 "A2" "Washout" "12" "C3"
229 5.053 "A2" "Early" "1" "C4"
230 25.318 "A2" "Early" "2" "C4"
231 34.351 "A2" "Early" "3" "C4"
232 32.663 "A2" "Early" "4" "C4"
233 28.165 "A2" "Late" "5" "C4"
234 35.539 "A2" "Late" "6" "C4"
235 40.552 "A2" "Late" "7" "C4"
236 35.429 "A2" "Late" "8" "C4"
237 9.507 "A2" "Washout" "9" "C4"
238 5.052 "A2" "Washout" "10" "C4"
239 7.880 "A2" "Washout" "11" "C4"
240 6.080 "A2" "Washout" "12" "C4"
241 0.181 "A2" "Early" "1" "C5"
242 43.940 "A2" "Early" "2" "C5"
243 45.511 "A2" "Early" "3" "C5"
244 42.694 "A2" "Early" "4" "C5"
245 47.138 "A2" "Late" "5" "C5"
246 44.226 "A2" "Late" "6" "C5"
247 46.287 "A2" "Late" "7" "C5"
248 46.932 "A2" "Late" "8" "C5"
249 0.592 "A2" "Washout" "9" "C5"
250 3.615 "A2" "Washout" "10" "C5"
251 -1.648 "A2" "Washout" "11" "C5"
252 1.817 "A2" "Washout" "12" "C5"
253 8.913 "A2" "Early" "1" "C6"
254 16.230 "A2" "Early" "2" "C6"
255 16.910 "A2" "Early" "3" "C6"
256 23.455 "A2" "Early" "4" "C6"
257 32.864 "A2" "Late" "5" "C6"
258 29.760 "A2" "Late" "6" "C6"
259 15.205 "A2" "Late" "7" "C6"
260 26.796 "A2" "Late" "8" "C6"
261 4.954 "A2" "Washout" "9" "C6"
262 6.109 "A2" "Washout" "10" "C6"
263 3.370 "A2" "Washout" "11" "C6"
264 5.416 "A2" "Washout" "12" "C6"
265 15.642 "A2" "Early" "1" "C7"
266 21.963 "A2" "Early" "2" "C7"
267 52.458 "A2" "Early" "3" "C7"
268 26.481 "A2" "Early" "4" "C7"
269 23.387 "A2" "Late" "5" "C7"
270 3.951 "A2" "Late" "6" "C7"
271 21.520 "A2" "Late" "7" "C7"
272 21.580 "A2" "Late" "8" "C7"
273 2.865 "A2" "Washout" "9" "C7"
274 2.123 "A2" "Washout" "10" "C7"
275 0.830 "A2" "Washout" "11" "C7"
276 0.653 "A2" "Washout" "12" "C7"
277 7.542 "A2" "Early" "1" "C8"
278 19.796 "A2" "Early" "2" "C8"
279 30.602 "A2" "Early" "3" "C8"
280 35.422 "A2" "Early" "4" "C8"
281 18.310 "A2" "Late" "5" "C8"
282 43.439 "A2" "Late" "6" "C8"
283 40.480 "A2" "Late" "7" "C8"
284 44.159 "A2" "Late" "8" "C8"
285 6.575 "A2" "Washout" "9" "C8"
286 7.213 "A2" "Washout" "10" "C8"
287 4.639 "A2" "Washout" "11" "C8"
288 5.868 "A2" "Washout" "12" "C8"
289 -0.104 "A2" "Early" "1" "C9"
290 -1.489 "A2" "Early" "2" "C9"
291 7.485 "A2" "Early" "3" "C9"
292 26.684 "A2" "Early" "4" "C9"
293 19.501 "A2" "Late" "5" "C9"
294 8.362 "A2" "Late" "6" "C9"
295 19.800 "A2" "Late" "7" "C9"
296 22.536 "A2" "Late" "8" "C9"
297 -1.148 "A2" "Washout" "9" "C9"
298 8.440 "A2" "Washout" "10" "C9"
299 7.440 "A2" "Washout" "11" "C9"
300 4.054 "A2" "Washout" "12" "C9"
301 3.739 "A2" "Early" "1" "C10"
302 11.909 "A2" "Early" "2" "C10"
303 49.826 "A2" "Early" "3" "C10"
304 43.850 "A2" "Early" "4" "C10"
305 48.737 "A2" "Late" "5" "C10"
306 50.451 "A2" "Late" "6" "C10"
307 49.469 "A2" "Late" "7" "C10"
308 48.768 "A2" "Late" "8" "C10"
309 3.478 "A2" "Washout" "9" "C10"
310 3.121 "A2" "Washout" "10" "C10"
